Strategy,Start,End,Distance Taveled,Elapsed Time,Right Turns,Left Turns,
dijkstra,-328.746954:274.200000:-289.594068,-502.000000:270.000000:577.000000,1848.910497,61.630350,24,31,
bfs,539.590656:274.200000:265.067750,-66.000000:270.000000:189.000000,1145.710497,38.190350,10,3,
dijkstra,-500.949412:274.200000:573.256563,-373.000000:270.000000:733.000000,566.100000,18.870000,4,9,
dfs,-83.236047:274.200000:-105.410457,537.000000:270.000000:799.000000,10737.754842,357.925161,136,179,
astar,-705.516406:274.200000:674.634559,221.000000:270.000000:781.000000,1615.200000,53.840000,5,19,
dijkstra,-372.744080:274.200000:729.301414,-696.000000:270.000000:-172.000000,1611.461819,53.715394,34,19,
bfs,-69.032607:274.200000:191.309839,1425.000000:270.000000:685.000000,2612.261819,87.075394,10,28,
dijkstra,-699.401585:273.461819:-173.697106,-607.000000:270.000000:-476.000000,924.000000,30.800000,7,18,
astar,224.694469:274.200000:780.621808,-256.000000:270.000000:-175.000000,2077.661819,69.255394,17,17,
astar,-256.049588:274.200000:-171.213865,745.000000:270.000000:-370.000000,1508.470859,50.282362,1,17,
dijkstra,-606.183655:274.200000:-472.281601,9.000000:270.000000:681.000000,2263.270859,75.442362,15,10,
astar,745.419516:274.200000:-366.146089,1125.000000:270.000000:135.000000,1031.311738,34.377058,3,9,
astar,1121.133523:274.200000:134.440369,1042.000000:270.000000:147.000000,329.400000,10.980000,7,0,
bfs,1421.195736:274.200000:684.086015,-993.000000:270.000000:-718.000000,3979.482597,132.649420,53,21,
dijkstra,7.465977:274.200000:677.528147,-1170.000000:270.000000:765.000000,2135.765074,71.192169,20,7,
astar,1045.535407:274.201003:145.679797,-1145.000000:270.000000:-499.000000,3029.426352,100.980878,41,6,
bfs,-994.007114:274.200000:-714.305500,1271.000000:270.000000:559.000000,3790.526352,126.350878,20,48,
